Fecha,Hora_Real,Mesa,Estado,Permanencia_Segundos
2026-05-31,18:22:11,Mesa 4,OCUPADA,0.0
2026-05-31,18:22:11,Mesa 6,LIBERADA,7.6
2026-05-31,18:22:14,Mesa 12,SIGUE OCUPADA,15.0
2026-05-31,18:22:15,Mesa 14,LIBERADA,5.3
2026-05-31,18:22:15,Mesa 2,SIGUE OCUPADA,45.0
2026-05-31,18:22:15,Mesa 3,SIGUE OCUPADA,45.0
2026-05-31,18:22:15,Mesa 10,SIGUE OCUPADA,45.0
2026-05-31,18:22:15,Mesa 11,SIGUE OCUPADA,45.0
2026-05-31,18:22:17,Mesa 4,LIBERADA,6.0
2026-05-31,18:22:20,Mesa 13,LIBERADA,13.6
2026-05-31,18:22:20,Mesa 8,LIBERADA,9.2
2026-05-31,18:22:22,Mesa 7,SIGUE OCUPADA,15.0
2026-05-31,18:22:22,Mesa 13,OCUPADA,0.0
2026-05-31,18:22:28,Mesa 13,LIBERADA,6.3
2026-05-31,18:22:29,Mesa 12,SIGUE OCUPADA,30.0
2026-05-31,18:22:30,Mesa 2,SIGUE OCUPADA,60.0
2026-05-31,18:22:30,Mesa 3,SIGUE OCUPADA,60.0
2026-05-31,18:22:30,Mesa 10,SIGUE OCUPADA,60.0
2026-05-31,18:22:30,Mesa 11,SIGUE OCUPADA,60.0
2026-05-31,18:22:34,Mesa 4,OCUPADA,0.0
2026-05-31,18:22:36,Mesa 7,SIGUE OCUPADA,30.0
2026-05-31,18:22:39,Mesa 8,OCUPADA,0.0
2026-05-31,18:22:42,Mesa 4,LIBERADA,8.6
2026-05-31,18:22:43,Mesa 12,SIGUE OCUPADA,45.0
2026-05-31,18:22:44,Mesa 2,SIGUE OCUPADA,75.1
2026-05-31,18:22:44,Mesa 3,SIGUE OCUPADA,75.1
2026-05-31,18:22:44,Mesa 10,SIGUE OCUPADA,75.1
2026-05-31,18:22:44,Mesa 11,SIGUE OCUPADA,75.1
2026-05-31,18:22:44,Mesa 8,LIBERADA,5.4
2026-05-31,18:22:44,Mesa 12,LIBERADA,46.3
2026-06-01,20:40:06,Mesa 2,OCUPADA,0.0
2026-06-01,20:40:06,Mesa 3,OCUPADA,0.0
2026-06-01,20:40:06,Mesa 10,OCUPADA,0.0
2026-06-01,20:40:06,Mesa 11,OCUPADA,0.0
2026-06-01,20:40:06,Mesa 12,OCUPADA,0.0
2026-06-01,20:40:07,Mesa 4,OCUPADA,0.0
2026-06-01,20:40:07,Mesa 15,OCUPADA,0.0
2026-06-01,20:40:11,Mesa 4,LIBERADA,5.2
2026-06-01,20:40:11,Mesa 15,LIBERADA,5.3
2026-06-01,20:40:20,Mesa 2,SIGUE OCUPADA,15.0
2026-06-01,20:40:20,Mesa 3,SIGUE OCUPADA,15.0
2026-06-01,20:40:20,Mesa 10,SIGUE OCUPADA,15.0
2026-06-01,20:40:20,Mesa 11,SIGUE OCUPADA,15.0
2026-06-01,20:40:20,Mesa 12,SIGUE OCUPADA,15.0
2026-06-01,20:40:21,Mesa 14,OCUPADA,0.0
2026-06-01,20:40:27,Mesa 14,LIBERADA,5.1
2026-06-01,20:40:32,Mesa 4,OCUPADA,0.0
2026-06-01,20:40:32,Mesa 12,LIBERADA,26.0
2026-06-01,20:40:35,Mesa 12,OCUPADA,0.0
2026-06-01,20:40:36,Mesa 2,SIGUE OCUPADA,30.0
2026-06-01,20:40:36,Mesa 3,SIGUE OCUPADA,30.0
2026-06-01,20:40:36,Mesa 10,SIGUE OCUPADA,30.0
2026-06-01,20:40:36,Mesa 11,SIGUE OCUPADA,30.0
2026-06-01,20:40:37,Mesa 4,LIBERADA,5.8
2026-06-01,20:40:39,Mesa 6,OCUPADA,0.0
2026-06-01,20:40:42,Mesa 13,OCUPADA,0.0
2026-06-01,20:40:43,Mesa 7,OCUPADA,0.0
2026-06-01,20:40:46,Mesa 14,OCUPADA,0.0
2026-06-01,20:40:47,Mesa 8,OCUPADA,0.0
2026-06-01,20:40:47,Mesa 4,OCUPADA,0.0
2026-06-01,20:40:47,Mesa 6,LIBERADA,7.6
2026-06-01,20:40:50,Mesa 12,SIGUE OCUPADA,15.0
2026-06-01,20:40:51,Mesa 14,LIBERADA,5.3
2026-06-01,20:40:51,Mesa 2,SIGUE OCUPADA,45.0
2026-06-01,20:40:51,Mesa 3,SIGUE OCUPADA,45.0
2026-06-01,20:40:51,Mesa 10,SIGUE OCUPADA,45.0
2026-06-01,20:40:51,Mesa 11,SIGUE OCUPADA,45.0
2026-06-01,20:40:53,Mesa 4,LIBERADA,6.0
2026-06-01,20:40:55,Mesa 13,LIBERADA,13.6
2026-06-01,20:40:56,Mesa 8,LIBERADA,9.2
2026-06-01,20:40:57,Mesa 7,SIGUE OCUPADA,15.0
2026-06-01,20:40:58,Mesa 13,OCUPADA,0.0
2026-06-01,20:41:04,Mesa 13,LIBERADA,6.3
2026-06-01,20:41:05,Mesa 12,SIGUE OCUPADA,30.0
2026-06-01,20:41:06,Mesa 2,SIGUE OCUPADA,60.0
2026-06-01,20:41:06,Mesa 3,SIGUE OCUPADA,60.0
2026-06-01,20:41:06,Mesa 10,SIGUE OCUPADA,60.0
2026-06-01,20:41:06,Mesa 11,SIGUE OCUPADA,60.0
2026-06-01,20:41:10,Mesa 4,OCUPADA,0.0
2026-06-01,20:41:13,Mesa 7,SIGUE OCUPADA,30.0
2026-06-01,20:41:16,Mesa 8,OCUPADA,0.0
2026-06-01,20:41:18,Mesa 4,LIBERADA,8.6
2026-06-01,20:41:20,Mesa 12,SIGUE OCUPADA,45.0
2026-06-01,20:41:20,Mesa 2,SIGUE OCUPADA,75.1
2026-06-01,20:41:20,Mesa 3,SIGUE OCUPADA,75.1
2026-06-01,20:41:20,Mesa 10,SIGUE OCUPADA,75.1
2026-06-01,20:41:20,Mesa 11,SIGUE OCUPADA,75.1
2026-06-01,20:41:21,Mesa 8,LIBERADA,5.4
2026-06-01,20:41:21,Mesa 12,LIBERADA,46.3
2026-06-01,20:41:30,Mesa 2,OCUPADA,0.0
2026-06-01,20:41:30,Mesa 3,OCUPADA,0.0
2026-06-01,20:41:30,Mesa 10,OCUPADA,0.0
2026-06-01,20:41:30,Mesa 11,OCUPADA,0.0
2026-06-01,20:41:30,Mesa 12,OCUPADA,0.0
2026-06-01,20:41:30,Mesa 4,OCUPADA,0.0
2026-06-01,20:41:30,Mesa 15,OCUPADA,0.0
2026-06-01,20:41:35,Mesa 4,LIBERADA,5.2
2026-06-01,20:41:35,Mesa 15,LIBERADA,5.3
2026-06-01,20:41:45,Mesa 2,SIGUE OCUPADA,15.0
2026-06-01,20:41:45,Mesa 3,SIGUE OCUPADA,15.0
2026-06-01,20:41:45,Mesa 10,SIGUE OCUPADA,15.0
2026-06-01,20:41:45,Mesa 11,SIGUE OCUPADA,15.0
2026-06-01,20:41:45,Mesa 12,SIGUE OCUPADA,15.0
2026-06-01,20:41:46,Mesa 14,OCUPADA,0.0
2026-06-01,20:41:52,Mesa 14,LIBERADA,5.1
2026-06-01,20:42:34,Mesa 2,OCUPADA,0.0
2026-06-01,20:42:34,Mesa 3,OCUPADA,0.0
2026-06-01,20:42:34,Mesa 10,OCUPADA,0.0
2026-06-01,20:42:34,Mesa 11,OCUPADA,0.0
2026-06-01,20:42:34,Mesa 12,OCUPADA,0.0
2026-06-01,20:42:34,Mesa 4,OCUPADA,0.0
2026-06-01,20:42:34,Mesa 15,OCUPADA,0.0
2026-06-01,20:42:39,Mesa 4,LIBERADA,5.2
2026-06-01,20:42:39,Mesa 15,LIBERADA,5.3
2026-06-01,20:42:48,Mesa 2,SIGUE OCUPADA,15.0
2026-06-01,20:42:48,Mesa 3,SIGUE OCUPADA,15.0
2026-06-01,20:42:48,Mesa 10,SIGUE OCUPADA,15.0
2026-06-01,20:42:48,Mesa 11,SIGUE OCUPADA,15.0
2026-06-01,20:42:48,Mesa 12,SIGUE OCUPADA,15.0
2026-06-01,20:42:49,Mesa 14,OCUPADA,0.0
2026-06-01,20:42:54,Mesa 14,LIBERADA,5.1
2026-06-01,20:42:59,Mesa 4,OCUPADA,0.0
2026-06-01,20:42:59,Mesa 12,LIBERADA,26.0
2026-06-01,20:43:03,Mesa 12,OCUPADA,0.0
2026-06-01,20:43:04,Mesa 2,SIGUE OCUPADA,30.0
2026-06-01,20:43:04,Mesa 3,SIGUE OCUPADA,30.0
2026-06-01,20:43:04,Mesa 10,SIGUE OCUPADA,30.0
2026-06-01,20:43:04,Mesa 11,SIGUE OCUPADA,30.0
2026-06-01,20:43:06,Mesa 4,LIBERADA,5.8
2026-06-01,20:43:08,Mesa 6,OCUPADA,0.0
2026-06-01,20:43:10,Mesa 13,OCUPADA,0.0
2026-06-01,20:43:10,Mesa 7,OCUPADA,0.0
2026-06-01,20:43:13,Mesa 14,OCUPADA,0.0
2026-06-01,20:43:15,Mesa 8,OCUPADA,0.0
2026-06-01,20:43:15,Mesa 4,OCUPADA,0.0
2026-06-01,20:43:15,Mesa 6,LIBERADA,7.6
2026-06-01,20:43:18,Mesa 12,SIGUE OCUPADA,15.0
2026-06-01,20:43:18,Mesa 14,LIBERADA,5.3
2026-06-01,20:43:19,Mesa 2,SIGUE OCUPADA,45.0
2026-06-01,20:43:19,Mesa 3,SIGUE OCUPADA,45.0
2026-06-01,20:43:19,Mesa 10,SIGUE OCUPADA,45.0
2026-06-01,20:43:19,Mesa 11,SIGUE OCUPADA,45.0
2026-06-01,20:43:20,Mesa 4,LIBERADA,6.0
2026-06-01,20:46:14,Mesa 2,OCUPADA,0.0
2026-06-01,20:46:14,Mesa 3,OCUPADA,0.0
2026-06-01,20:46:14,Mesa 10,OCUPADA,0.0
2026-06-01,20:46:14,Mesa 11,OCUPADA,0.0
2026-06-01,20:46:14,Mesa 12,OCUPADA,0.0
2026-06-01,20:46:14,Mesa 4,OCUPADA,0.0
2026-06-01,20:46:14,Mesa 15,OCUPADA,0.0
2026-06-01,20:46:19,Mesa 4,LIBERADA,5.2
2026-06-01,20:46:19,Mesa 15,LIBERADA,5.3
2026-06-01,20:46:29,Mesa 2,SIGUE OCUPADA,15.0
2026-06-01,20:46:29,Mesa 3,SIGUE OCUPADA,15.0
2026-06-01,20:46:29,Mesa 10,SIGUE OCUPADA,15.0
2026-06-01,20:46:29,Mesa 11,SIGUE OCUPADA,15.0
2026-06-01,20:46:29,Mesa 12,SIGUE OCUPADA,15.0
2026-06-01,20:46:30,Mesa 14,OCUPADA,0.0
2026-06-01,20:46:36,Mesa 14,LIBERADA,5.1
2026-06-01,20:46:41,Mesa 4,OCUPADA,0.0
2026-06-01,20:46:41,Mesa 12,LIBERADA,26.0
2026-06-01,20:46:45,Mesa 12,OCUPADA,0.0
2026-06-01,20:46:45,Mesa 2,SIGUE OCUPADA,30.0
2026-06-01,20:46:45,Mesa 3,SIGUE OCUPADA,30.0
2026-06-01,20:46:45,Mesa 10,SIGUE OCUPADA,30.0
2026-06-01,20:46:45,Mesa 11,SIGUE OCUPADA,30.0
2026-06-01,20:46:47,Mesa 4,LIBERADA,5.8
2026-06-01,20:46:49,Mesa 6,OCUPADA,0.0
2026-06-01,20:46:51,Mesa 13,OCUPADA,0.0
2026-06-01,20:46:52,Mesa 7,OCUPADA,0.0
2026-06-01,20:46:55,Mesa 14,OCUPADA,0.0
2026-06-01,20:46:57,Mesa 8,OCUPADA,0.0
2026-06-01,20:46:57,Mesa 4,OCUPADA,0.0
2026-06-01,20:46:57,Mesa 6,LIBERADA,7.6
2026-06-01,20:47:00,Mesa 12,SIGUE OCUPADA,15.0
2026-06-01,20:47:01,Mesa 14,LIBERADA,5.3
2026-06-01,20:47:01,Mesa 2,SIGUE OCUPADA,45.0
2026-06-01,20:47:01,Mesa 3,SIGUE OCUPADA,45.0
2026-06-01,20:47:01,Mesa 10,SIGUE OCUPADA,45.0
2026-06-01,20:47:01,Mesa 11,SIGUE OCUPADA,45.0
2026-06-01,20:47:03,Mesa 4,LIBERADA,6.0
2026-06-01,20:47:07,Mesa 13,LIBERADA,13.6
2026-06-01,20:47:07,Mesa 8,LIBERADA,9.2
2026-06-01,20:47:08,Mesa 7,SIGUE OCUPADA,15.0
2026-06-01,20:47:09,Mesa 13,OCUPADA,0.0
2026-06-01,20:47:14,Mesa 13,LIBERADA,6.3
2026-06-01,20:47:15,Mesa 12,SIGUE OCUPADA,30.0
2026-06-01,20:47:16,Mesa 2,SIGUE OCUPADA,60.0
2026-06-01,20:47:16,Mesa 3,SIGUE OCUPADA,60.0
2026-06-01,20:47:16,Mesa 10,SIGUE OCUPADA,60.0
2026-06-01,20:47:16,Mesa 11,SIGUE OCUPADA,60.0
2026-06-01,20:47:20,Mesa 4,OCUPADA,0.0
2026-06-01,20:47:22,Mesa 7,SIGUE OCUPADA,30.0
2026-06-01,20:47:25,Mesa 8,OCUPADA,0.0
2026-06-01,20:47:28,Mesa 4,LIBERADA,8.6
2026-06-01,20:47:29,Mesa 12,SIGUE OCUPADA,45.0
2026-06-01,20:47:30,Mesa 2,SIGUE OCUPADA,75.1
2026-06-01,20:47:30,Mesa 3,SIGUE OCUPADA,75.1
2026-06-01,20:47:30,Mesa 10,SIGUE OCUPADA,75.1
2026-06-01,20:47:30,Mesa 11,SIGUE OCUPADA,75.1
2026-06-01,20:47:30,Mesa 8,LIBERADA,5.4
2026-06-01,20:47:30,Mesa 12,LIBERADA,46.3
2026-06-01,20:47:39,Mesa 2,OCUPADA,0.0
2026-06-01,20:47:39,Mesa 3,OCUPADA,0.0
2026-06-01,20:47:39,Mesa 10,OCUPADA,0.0
2026-06-01,20:47:39,Mesa 11,OCUPADA,0.0
2026-06-01,20:47:39,Mesa 12,OCUPADA,0.0
2026-06-01,20:47:39,Mesa 4,OCUPADA,0.0
2026-06-01,20:47:39,Mesa 15,OCUPADA,0.0
2026-06-01,20:47:45,Mesa 4,LIBERADA,5.2
2026-06-01,20:47:45,Mesa 15,LIBERADA,5.3
2026-06-01,20:47:55,Mesa 2,SIGUE OCUPADA,15.0
2026-06-01,20:47:55,Mesa 3,SIGUE OCUPADA,15.0
2026-06-01,20:47:55,Mesa 10,SIGUE OCUPADA,15.0
2026-06-01,20:47:55,Mesa 11,SIGUE OCUPADA,15.0
2026-06-01,20:47:55,Mesa 12,SIGUE OCUPADA,15.0
2026-06-01,20:47:56,Mesa 14,OCUPADA,0.0
2026-06-01,20:48:01,Mesa 14,LIBERADA,5.1
2026-06-01,20:48:06,Mesa 4,OCUPADA,0.0
2026-06-01,20:48:06,Mesa 12,LIBERADA,26.0
2026-06-01,20:48:10,Mesa 12,OCUPADA,0.0
2026-06-01,20:48:11,Mesa 2,SIGUE OCUPADA,30.0
2026-06-01,20:48:11,Mesa 3,SIGUE OCUPADA,30.0
2026-06-01,20:48:11,Mesa 10,SIGUE OCUPADA,30.0
2026-06-01,20:48:11,Mesa 11,SIGUE OCUPADA,30.0
2026-06-01,20:48:13,Mesa 4,LIBERADA,5.8
2026-06-01,20:48:15,Mesa 6,OCUPADA,0.0
2026-06-01,20:48:18,Mesa 13,OCUPADA,0.0
2026-06-01,20:48:18,Mesa 7,OCUPADA,0.0
2026-06-01,20:48:21,Mesa 14,OCUPADA,0.0
2026-06-01,20:48:23,Mesa 8,OCUPADA,0.0
2026-06-01,20:48:23,Mesa 4,OCUPADA,0.0
2026-06-01,20:48:23,Mesa 6,LIBERADA,7.6
2026-06-01,20:48:27,Mesa 12,SIGUE OCUPADA,15.0
2026-06-01,20:48:27,Mesa 14,LIBERADA,5.3
2026-06-01,20:48:28,Mesa 2,SIGUE OCUPADA,45.0
2026-06-01,20:48:28,Mesa 3,SIGUE OCUPADA,45.0
2026-06-01,20:48:28,Mesa 10,SIGUE OCUPADA,45.0
2026-06-01,20:48:28,Mesa 11,SIGUE OCUPADA,45.0
2026-06-01,20:48:30,Mesa 4,LIBERADA,6.0
2026-06-01,20:48:33,Mesa 13,LIBERADA,13.6
2026-06-01,20:48:33,Mesa 8,LIBERADA,9.2
2026-06-01,20:48:35,Mesa 7,SIGUE OCUPADA,15.0
2026-06-01,20:48:35,Mesa 13,OCUPADA,0.0
2026-06-01,20:48:42,Mesa 13,LIBERADA,6.3
2026-06-01,20:48:43,Mesa 12,SIGUE OCUPADA,30.0
2026-06-01,20:48:44,Mesa 2,SIGUE OCUPADA,60.0
2026-06-01,20:48:44,Mesa 3,SIGUE OCUPADA,60.0
2026-06-01,20:48:44,Mesa 10,SIGUE OCUPADA,60.0
2026-06-01,20:48:44,Mesa 11,SIGUE OCUPADA,60.0
2026-06-01,20:48:49,Mesa 4,OCUPADA,0.0
2026-06-01,20:48:51,Mesa 7,SIGUE OCUPADA,30.0
2026-06-01,20:48:55,Mesa 8,OCUPADA,0.0
2026-06-01,20:48:58,Mesa 4,LIBERADA,8.6
2026-06-01,20:48:59,Mesa 12,SIGUE OCUPADA,45.0
2026-06-01,20:49:00,Mesa 2,SIGUE OCUPADA,75.1
2026-06-01,20:49:00,Mesa 3,SIGUE OCUPADA,75.1
2026-06-01,20:49:00,Mesa 10,SIGUE OCUPADA,75.1
2026-06-01,20:49:00,Mesa 11,SIGUE OCUPADA,75.1
2026-06-01,20:49:01,Mesa 8,LIBERADA,5.4
2026-06-01,20:49:01,Mesa 12,LIBERADA,46.3
2026-06-02,19:45:52,Mesa 2,OCUPADA,0.0
2026-06-02,19:45:52,Mesa 3,OCUPADA,0.0
2026-06-02,19:45:52,Mesa 10,OCUPADA,0.0
2026-06-02,19:45:52,Mesa 11,OCUPADA,0.0
2026-06-02,19:45:52,Mesa 12,OCUPADA,0.0
2026-06-02,19:45:53,Mesa 4,OCUPADA,0.0
2026-06-02,19:45:53,Mesa 15,OCUPADA,0.0
2026-06-02,19:45:58,Mesa 4,LIBERADA,5.2
2026-06-02,19:45:58,Mesa 15,LIBERADA,5.3
2026-06-02,19:46:08,Mesa 2,SIGUE OCUPADA,15.0
2026-06-02,19:46:08,Mesa 3,SIGUE OCUPADA,15.0
